No.,Quantity,Description,Supplier ,Supplier Part ,Product Link ,Cost,Total (USD),,
33,1,FLIP SWITCHES FOR CONTOLER,LCSC,C908284,https://www.lcsc.com/product-detail/C908284.html,1.664,1.664,,
34,3,TACT BUTTON FOR CONTOLER,LCSC,C455118,https://www.lcsc.com/product-detail/C455118.html,0.0581,0.1743,,
35,1,CAPASITOR FOR CONTORLER,LCSC,C72522,https://www.lcsc.com/product-detail/C72522.html,0.0221,0.0221,,
36,3,LED for controller ,LCSC,C965560,https://www.lcsc.com/product-detail/C965560.html,0.55,1.65,,
37,3,USB C backwards current diode ,LCSC,C41409280,https://www.lcsc.com/product-detail/C41409280.html,0.0243,0.0729,,
38,2,Joystick ,ElectroPi,EPI7882,https://www.electropi.in/dual-axis-xy-joystick-module,0.29,0.58,,
39,2,NRF24L01 Receiver and Transmitter ,makerBazar,SKU:422942410,https://makerbazar.in/products/2-4ghz-nrf24l01-pa-lna-sma-wireless-transceiver-antenna,1.54,3.08,,
40,1,IMU & Accelerometer Sensor ,robu,SKU: R184320,https://robu.in/product/icm-20948-tdk-invensense,14.19,14.19,,
41,1,Boat Controller PCB,JLCPCB ,NA,https://cart.jlcpcb.com/quote,1.3,1.3,,
42,1,Transmitter PCB ,JLCPCB ,NA,https://cart.jlcpcb.com/quote,1.3,1.3,,
,,,,,,Total ,38.2179,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
